jis_code	url	system_type
04505	https://www1.g-reiki.net/town.misato.miyagi/reiki_menu.html	g-reiki
04581	https://en3-jg.d1-law.com/onagawa/d1w_reiki/reiki.html	d1-law
04606		
05000	https://www1.g-reiki.net/pref_akita/reiki_menu.html	g-reiki
05201	https://www.city.akita.akita.jp/city/gn/dc/reiki/reiki_menu.html	taikei
05202	https://www.city.noshiro.lg.jp/reiki/reiki_menu.html	taikei
05203	https://www1.g-reiki.net/city.yokote/reiki_menu.html	g-reiki
05204	https://en3-jg.d1-law.com/odate/d1w_reiki/reiki.html	d1-law
05206	https://www1.g-reiki.net/city.oga.akita/reiki_menu.html	g-reiki
05207	https://www.city-yuzawa.jp/soshiki/7/694.html	taikei
05209	https://ops-jg.d1-law.com/opensearch/SrFeF01/init?jctcd=8A7A305353	d1-law
05210	https://www.city.yurihonjo.lg.jp/reiki/reiki_menu.html	taikei
05211	https://www.city.katagami.lg.jp/section/reiki_int/reiki_menu.html	taikei
05212	https://www.city.daisen.lg.jp/reiki/reiki_taikei/taikei_default.html	taikei
05213	https://www1.g-reiki.net/city.kitaakita/reiki_menu.html	g-reiki
05214	https://www1.g-reiki.net/nikaho/reiki_menu.html	g-reiki
05215	https://www.city.semboku.akita.jp/reiki/reiki.html	reiki.html
05303	https://www.town.kosaka.akita.jp/section/reiki_int/reiki_menu.html	taikei
05327	https://lg.joureikun.jp/kamikoani_vill/reiki/	joureikun
05346	https://www1.g-reiki.net/town.fujisato.akita/reiki_menu.html	g-reiki
05348	https://www1.g-reiki.net/town.mitane/reiki_menu.html	g-reiki
05349	https://www1.g-reiki.net/town.happou/reiki_menu.html	g-reiki
05361	https://www1.g-reiki.net/town.gojome.akita/reiki_menu.html	g-reiki
05363	https://www.town.hachirogata.akita.jp/reiki_int/reiki_menu.html	taikei
05366	https://www.town.ikawa.akita.jp/reiki/reiki_menu.html	taikei
05368	https://www1.g-reiki.net/ogata/reiki_menu.html	g-reiki
05434	https://www1.g-reiki.net/town.misato.akita/reiki_menu.html	g-reiki
05463	https://www.town.ugo.lg.jp/reiki/reiki_menu.html	taikei
05464	https://www1.g-reiki.net/higashinaruse/reiki_menu.html	g-reiki
06000	https://en3-jg.d1-law.com/yamagata-ken/d1w_reiki/reiki.html	d1-law
06201	https://en3-jg.d1-law.com/yamagata/reiki.html	d1-law
06202	https://www1.g-reiki.net/yonezawa/reiki_kana/r_50_sa.html	g-reiki
06203	https://www1.g-reiki.net/city.tsuruoka/reiki_menu.html	g-reiki
06204	https://www1.g-reiki.net/city.sakata/reiki_menu.html	g-reiki
06205	https://www1.g-reiki.net/shinjo/reiki_menu.html	g-reiki
06206	https://en3-jg.d1-law.com/sagae/d1w_reiki/reiki.html	d1-law
06207	https://www1.g-reiki.net/city.kaminoyama/reiki_menu.html	g-reiki
06208	https://www1.g-reiki.net/city.murayama/reiki_menu.html	g-reiki
06209	https://www.city.nagai.yamagata.jp/section/reiki/reiki_menu.html	taikei
06210	https://krc411.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
